doc_id,annotator,model,model_reported,attempts,input_tokens,output_tokens,latency_s,called_at_utc,prompt_fingerprint
GT-074,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10188,2831,4.36,2026-09-18T03:04:19.024779+00:00,53c7ce151f935769
GT-154,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9938,1502,2.35,2026-09-18T03:14:06.743946+00:00,53c7ce151f935769
GT-092,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9878,1792,2.88,2026-09-18T03:06:26.687798+00:00,53c7ce151f935769
GT-110,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10057,2261,3.5,2026-09-18T23:58:36.801727+00:00,53c7ce151f935769
GT-033,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10008,1320,2.35,2026-09-18T03:18:27.287313+00:00,53c7ce151f935769
GT-030,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10064,1680,3.05,2026-09-18T02:58:46.930399+00:00,53c7ce151f935769
GT-137,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10410,969,2.24,2026-09-19T00:01:55.876686+00:00,53c7ce151f935769
GT-093,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9975,1941,3.43,2026-09-18T23:56:13.965854+00:00,53c7ce151f935769
GT-064,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9794,1726,3.26,2026-09-18T03:03:04.758064+00:00,53c7ce151f935769
GT-077,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9992,1087,1.73,2026-09-18T03:25:19.269622+00:00,53c7ce151f935769
GT-039,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10041,2110,4.22,2026-09-18T03:00:04.591381+00:00,53c7ce151f935769
GT-134,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9928,2107,3.17,2026-09-18T03:11:40.287089+00:00,53c7ce151f935769
GT-001,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10075,1958,5.05,2026-09-18T02:52:17.166163+00:00,53c7ce151f935769
GT-050,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10009,2187,3.01,2026-09-18T03:01:33.026886+00:00,53c7ce151f935769
GT-093,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9975,1007,1.92,2026-09-18T03:26:58.088154+00:00,53c7ce151f935769
GT-140,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9973,1377,2.43,2026-09-18T03:12:17.050443+00:00,53c7ce151f935769
GT-047,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9911,1948,3.09,2026-09-18T03:01:13.738144+00:00,53c7ce151f935769
GT-061,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9984,2699,3.35,2026-09-18T23:52:45.740872+00:00,53c7ce151f935769
GT-010,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9999,2640,3.66,2026-09-18T03:15:49.691711+00:00,53c7ce151f935769
GT-033,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10008,3234,4.03,2026-09-18T02:59:08.052411+00:00,53c7ce151f935769
GT-133,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10029,2019,3.57,2026-09-19T00:01:05.138126+00:00,53c7ce151f935769
GT-135,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9929,1829,6.2,2026-09-19T00:01:44.373220+00:00,53c7ce151f935769
GT-125,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10099,2235,4.04,2026-09-19T00:00:12.511395+00:00,53c7ce151f935769
GT-113,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9925,2415,3.92,2026-09-18T23:58:54.971164+00:00,53c7ce151f935769
GT-097,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10113,1664,3.26,2026-09-18T03:07:01.448190+00:00,53c7ce151f935769
GT-107,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9946,1206,1.82,2026-09-18T23:58:17.238522+00:00,53c7ce151f935769
GT-070,gpt-oss-20b#r3,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10026,2521,3.37,2026-09-18T23:53:42.664081+00:00,53c7ce151f935769
GT-098,gpt-oss-20b#r1,openai/gpt-oss-20b,openai/gpt-oss-20b,1,9934,1439,2.65,2026-09-18T03:07:07.602980+00:00,53c7ce151f935769
GT-124,gpt-oss-20b#r2,openai/gpt-oss-20b,openai/gpt-oss-20b,1,10640,1780,2.79,2026-09-18T23:41:39.956625+00:00,53c7ce151f935769
